Problem,Variable Ordering,Pre-processing,Measure,Data
puget2,static,SAC,Average left branch length,17.594059
puget2,static,SAC,Longest backtracked left branch,173.000000
puget2,static,SAC,Longest chain of successful assignments,29
puget2,static,SAC,First ten assignments backtracked,1
puget2,static,SACBounds,Assignments,475
puget2,static,SACBounds,Solutions,1
puget2,static,SACBounds,Dead Ends,427
puget2,static,SACBounds,Backtracks,851
puget2,static,SACBounds,Backtracked left branches,101
puget2,static,SACBounds,Average left branch length,17.594059
puget2,static,SACBounds,Longest backtracked left branch,173.000000
puget2,static,SACBounds,Longest chain of successful assignments,29
puget2,static,SACBounds,First ten assignments backtracked,1
puget2,static,SSAC,Assignments,314
puget2,static,SSAC,Solutions,1
puget2,static,SSAC,Dead Ends,266
puget2,static,SSAC,Backtracks,530
puget2,static,SSAC,Backtracked left branches,59
puget2,static,SSAC,Average left branch length,19.796610
puget2,static,SSAC,Longest backtracked left branch,173.000000
puget2,static,SSAC,Longest chain of successful assignments,29
puget2,static,SSAC,First ten assignments backtracked,1
puget2,static,SSACBounds,Assignments,314
puget2,static,SSACBounds,Solutions,1
puget2,static,SSACBounds,Dead Ends,266
puget2,static,SSACBounds,Backtracks,530
puget2,static,SSACBounds,Backtracked left branches,59
puget2,static,SSACBounds,Average left branch length,19.796610
puget2,static,SSACBounds,Longest backtracked left branch,173.000000
puget2,static,SSACBounds,Longest chain of successful assignments,29
puget2,static,SSACBounds,First ten assignments backtracked,1
puget6,ldf,GAC,Assignments,549
puget6,ldf,GAC,Solutions,1
puget6,ldf,GAC,Dead Ends,492
puget6,ldf,GAC,Backtracks,963
puget6,ldf,GAC,Backtracked left branches,122
puget6,ldf,GAC,Average left branch length,15.959016
puget6,ldf,GAC,Longest backtracked left branch,166.000000
puget6,ldf,GAC,Longest chain of successful assignments,6
puget6,ldf,GAC,First ten assignments backtracked,5
puget6,ldf,None,Assignments,549
puget6,ldf,None,Solutions,1
puget6,ldf,None,Dead Ends,492
puget6,ldf,None,Backtracks,963
puget6,ldf,None,Backtracked left branches,122
puget6,ldf,None,Average left branch length,15.959016
puget6,ldf,None,Longest backtracked left branch,166.000000
puget6,ldf,None,Longest chain of successful assignments,6
puget6,ldf,None,First ten assignments backtracked,5
puget6,ldf,SAC,Assignments,549
puget6,ldf,SAC,Solutions,1
puget6,ldf,SAC,Dead Ends,492
puget6,ldf,SAC,Backtracks,963
puget6,ldf,SAC,Backtracked left branches,122
puget6,ldf,SAC,Average left branch length,15.959016
puget6,ldf,SAC,Longest backtracked left branch,166.000000
puget6,ldf,SAC,Longest chain of successful assignments,6
puget6,ldf,SAC,First ten assignments backtracked,5
puget6,ldf,SACBounds,Assignments,549
puget6,ldf,SACBounds,Solutions,1
puget6,ldf,SACBounds,Dead Ends,492
puget6,ldf,SACBounds,Backtracks,963
puget6,ldf,SACBounds,Backtracked left branches,122
puget6,ldf,SACBounds,Average left branch length,15.959016
puget6,ldf,SACBounds,Longest backtracked left branch,166.000000
puget6,ldf,SACBounds,Longest chain of successful assignments,6
puget6,ldf,SACBounds,First ten assignments backtracked,5
puget6,ldf,SSAC,Assignments,546
puget6,ldf,SSAC,Solutions,1
puget6,ldf,SSAC,Dead Ends,490
puget6,ldf,SSAC,Backtracks,960
puget6,ldf,SSAC,Backtracked left branches,121
puget6,ldf,SSAC,Average left branch length,16.082645
puget6,ldf,SSAC,Longest backtracked left branch,166.000000
puget6,ldf,SSAC,Longest chain of successful assignments,6
puget6,ldf,SSAC,First ten assignments backtracked,4
puget6,ldf,SSACBounds,Assignments,546
puget6,ldf,SSACBounds,Solutions,1
puget6,ldf,SSACBounds,Dead Ends,490
puget6,ldf,SSACBounds,Backtracks,960
puget6,ldf,SSACBounds,Backtracked left branches,121
puget6,ldf,SSACBounds,Average left branch length,16.082645
puget6,ldf,SSACBounds,Longest backtracked left branch,166.000000
puget6,ldf,SSACBounds,Longest chain of successful assignments,6
puget6,ldf,SSACBounds,First ten assignments backtracked,4
puget6,None,GAC,Assignments,549
puget6,None,GAC,Solutions,1
puget6,None,GAC,Dead Ends,492
puget6,None,GAC,Backtracks,963
puget6,None,GAC,Backtracked left branches,122
puget6,None,GAC,Average left branch length,15.959016
puget6,None,GAC,Longest backtracked left branch,166.000000
puget6,None,GAC,Longest chain of successful assignments,6
puget6,None,GAC,First ten assignments backtracked,5
puget6,None,None,Assignments,549
puget6,None,None,Solutions,1
puget6,None,None,Dead Ends,492
puget6,None,None,Backtracks,963
puget6,None,None,Backtracked left branches,122
puget6,None,None,Average left branch length,15.959016
puget6,None,None,Longest backtracked left branch,166.000000
puget6,None,None,Longest chain of successful assignments,6
puget6,None,None,First ten assignments backtracked,5
puget6,None,SAC,Assignments,549
puget6,None,SAC,Solutions,1
puget6,None,SAC,Dead Ends,492
puget6,None,SAC,Backtracks,963
