:TYPE,:START_ID,action,:END_ID
EQUALS,138,AnyVarRef:Bool:Bool:67 = 0,139
NOT_EQUALS,138,AnyVarRef:Bool:Bool:67 != 0,Dead_End_122
BACKTRACK,138,,135
EQUALS,139,AnyVarRef:Bool:Bool:68 = 0,Dead_End_120
NOT_EQUALS,139,AnyVarRef:Bool:Bool:68 != 0,Dead_End_121
BACKTRACK,139,,138
BACKTRACK,Dead_End_120,,139
BACKTRACK,Dead_End_121,,139
BACKTRACK,Dead_End_122,,138
BACKTRACK,Dead_End_123,,134
BACKTRACK,Dead_End_124,,133
BACKTRACK,Dead_End_125,,132
BACKTRACK,Dead_End_126,,108
EQUALS,140,AnyVarRef:Bool:Bool:67 = 0,Dead_End_127
NOT_EQUALS,140,AnyVarRef:Bool:Bool:67 != 0,Dead_End_128
